City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
168,Parker,US,2021-11-16 06:36:13,32.7668,-97.8003,66.34,85,0,11.3
169,Port Lincoln,AU,2021-11-16 06:31:19,-34.7333,135.8667,59.99,53,7,12.33
170,Iwanai,JP,2021-11-16 06:36:14,42.9744,140.5089,40.93,57,96,14.36
171,Chuy,UY,2021-11-16 06:33:50,-33.6971,-53.4616,63.9,96,100,6.22
172,Hasaki,JP,2021-11-16 06:36:14,35.7333,140.8333,61.29,74,100,19.37
173,Burgos,ES,2021-11-16 06:36:14,42.3394,-3.7079,43.21,87,75,11.5
174,Peniche,PT,2021-11-16 06:36:15,39.3558,-9.3811,55.62,63,56,8.28
175,Kodiak,US,2021-11-16 06:36:15,57.79,-152.4072,17.11,86,20,5.75
176,Machilipatnam,IN,2021-11-16 06:36:15,16.1667,81.1333,88.0,76,100,14.09
177,Pangnirtung,CA,2021-11-16 06:35:30,66.1451,-65.7125,3.56,70,41,5.84
178,Isangel,VU,2021-11-16 06:36:16,-19.55,169.2667,82.51,74,40,0.0
179,Kondinskoye,RU,2021-11-16 06:36:16,59.6481,67.41,16.18,85,8,12.35
180,Khatanga,RU,2021-11-16 06:37:16,71.9667,102.5,-27.38,100,86,2.75
181,Lazaro Cardenas,MX,2021-11-16 06:37:17,17.9583,-102.2,74.5,77,100,4.25
182,Tabou,CI,2021-11-16 06:37:17,4.423,-7.3528,77.94,84,99,2.71
183,Castro,BR,2021-11-16 06:37:17,-24.7911,-50.0119,55.63,97,98,4.38
184,Port Elizabeth,ZA,2021-11-16 06:37:18,-33.918,25.5701,72.1,68,20,20.71
185,Reyes,BO,2021-11-16 06:37:18,-14.3167,-67.3833,74.55,93,100,0.67
186,Gat,IL,2021-11-16 06:37:18,31.61,34.7642,73.4,47,3,1.99
187,Kruisfontein,ZA,2021-11-16 06:37:19,-34.0033,24.7314,69.89,76,100,18.21
188,Lebu,CL,2021-11-16 06:37:19,-37.6167,-73.65,47.59,81,0,17.09
189,Vardo,NO,2021-11-16 06:37:19,70.3705,31.1107,38.95,93,75,10.36
190,Coihaique,CL,2021-11-16 06:37:20,-45.5752,-72.0662,37.35,75,0,4.61
191,Ratnagiri,IN,2021-11-16 06:37:20,16.9833,73.3,89.89,59,100,4.07
192,Margate,GB,2021-11-16 06:37:20,51.3813,1.3862,49.69,77,100,5.06
193,Saint Simons,US,2021-11-16 06:37:20,31.1352,-81.3901,48.24,91,1,0.0
194,Ugoofaaru,MV,2021-11-16 06:37:21,5.6667,73.0,81.48,79,100,20.29
195,Bogoslovka,RU,2021-11-16 06:37:21,53.2084,44.8013,24.48,83,22,11.32
196,Esperance,AU,2021-11-16 06:37:21,-33.8667,121.9,75.04,70,9,11.79
197,High Prairie,CA,2021-11-16 06:37:22,55.4334,-116.4858,25.9,95,100,9.71
198,Ribeira Grande,PT,2021-11-16 06:37:22,38.5167,-28.7,67.57,80,13,11.21
199,Mount Gambier,AU,2021-11-16 06:37:09,-37.8333,140.7667,57.11,62,90,8.05
200,Barreirinhas,BR,2021-11-16 06:37:22,-2.7469,-42.8264,77.81,86,24,7.9
201,Saldanha,ZA,2021-11-16 06:37:23,-33.0117,17.9442,68.05,77,100,15.57
202,Bogorodskoye,RU,2021-11-16 06:37:23,56.55,37.8833,28.8,69,16,13.53
203,Milkovo,RU,2021-11-16 06:37:23,54.7167,158.6167,26.29,82,100,6.31
204,Carnarvon,AU,2021-11-16 06:37:24,-24.8667,113.6333,75.27,60,0,14.97
205,Zima,RU,2021-11-16 06:37:24,53.9202,102.0442,31.06,92,100,7.61
206,Salalah,OM,2021-11-16 06:37:24,17.0151,54.0924,86.09,21,0,11.5
207,Mahebourg,MU,2021-11-16 06:37:25,-20.4081,57.7,82.69,61,40,11.5
208,Sola,VU,2021-11-16 06:37:25,-13.8833,167.55,81.27,83,75,5.75
209,Taltal,CL,2021-11-16 06:37:25,-25.4,-70.4833,57.81,86,47,3.29
210,Gorom-Gorom,BF,2021-11-16 06:37:26,14.4439,-0.2361,76.86,26,24,9.08
211,Wajima,JP,2021-11-16 06:37:26,37.4,136.9,56.08,62,75,6.91
212,Flinders,AU,2021-11-16 06:37:26,-34.5833,150.8552,64.06,56,32,9.82
213,Ketchikan,US,2021-11-16 06:36:03,55.3422,-131.6461,32.61,87,28,2.51
214,Ahmadpur,IN,2021-11-16 06:37:27,18.7,76.9333,83.77,61,61,11.1
215,Kamaishi,JP,2021-11-16 06:37:27,39.2667,141.8833,52.75,61,40,8.41
216,Vila Franca Do Campo,PT,2021-11-16 06:34:22,37.7167,-25.4333,65.19,82,78,10.29
217,Amga,RU,2021-11-16 06:36:39,60.8953,131.9608,-6.59,100,95,0.87
218,North Bend,US,2021-11-16 06:37:27,43.4065,-124.2243,46.85,95,20,6.91
219,Suoyarvi,RU,2021-11-16 06:33:11,62.0833,32.35,36.46,91,100,11.12
220,Geilenkirchen,DE,2021-11-16 06:37:28,50.9667,6.1167,43.39,95,75,1.14
221,Dom Pedro,BR,2021-11-16 06:37:28,-4.4833,-44.45,72.23,95,81,2.21
222,Cayenne,GF,2021-11-16 06:37:28,4.9333,-52.3333,75.09,91,20,0.0
223,Lavrentiya,RU,2021-11-16 06:37:29,65.5833,-171.0,14.5,84,100,7.7
224,Dhidhdhoo,MV,2021-11-16 06:37:29,6.8833,73.1,81.34,77,82,17.92
225,Atherton,GB,2021-11-16 06:35:14,53.5237,-2.4935,50.43,94,100,1.99
226,Norsup,VU,2021-11-16 06:37:30,-16.0667,167.3833,81.23,78,34,8.39
227,Taybad,IR,2021-11-16 06:37:30,34.74,60.7756,63.1,20,100,15.19
228,Clayton,US,2021-11-16 06:38:30,33.5335,-84.3666,47.7,78,1,3.44
229,Faya,SA,2021-11-16 06:38:31,18.3851,42.4509,66.31,43,0,5.86
230,Urumqi,CN,2021-11-16 06:38:31,43.801,87.6005,27.55,93,90,2.24
231,Cidreira,BR,2021-11-16 06:38:31,-30.1811,-50.2056,67.3,89,3,18.07
232,Half Moon Bay,US,2021-11-16 06:38:31,37.4636,-122.4286,59.47,94,75,0.0
233,Mahibadhoo,MV,2021-11-16 06:38:32,3.7833,72.9667,81.9,79,96,18.72
234,Marawi,PH,2021-11-16 06:38:32,7.9986,124.2928,74.64,96,100,2.98
235,Sitka,US,2021-11-16 06:38:32,57.0531,-135.33,35.49,75,75,6.91
236,Saint George,US,2021-11-16 06:38:33,37.1041,-113.5841,65.35,40,1,4.61
237,Muli,MV,2021-11-16 06:38:33,2.9167,73.5667,82.9,75,100,18.43
238,Oranjemund,NA,2021-11-16 06:35:37,-28.55,16.4333,65.53,74,1,13.91
239,Shuangcheng,CN,2021-11-16 06:38:33,45.35,126.2833,28.08,92,25,5.12
240,Chupa,RU,2021-11-16 06:38:34,66.27,33.0549,33.67,92,29,10.07
241,Dudinka,RU,2021-11-16 06:38:34,69.4058,86.1778,-0.89,91,100,15.21
242,Iqaluit,CA,2021-11-16 06:38:34,63.7506,-68.5145,-4.27,77,20,13.8
243,Ocampo,MX,2021-11-16 06:38:35,21.65,-101.5,45.16,63,100,5.17
244,Verkhnevilyuysk,RU,2021-11-16 06:38:35,63.4453,120.3167,0.23,98,100,3.69
245,Saint-Francois,FR,2021-11-16 06:35:23,46.4154,3.9054,44.47,93,90,2.3
246,Husavik,IS,2021-11-16 06:38:35,66.0449,-17.3389,35.51,76,11,13.35
