City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
123,Havoysund,NO,70.9963,24.6622,29.28,84,99,10.07,overcast clouds
124,Mugumu,TZ,-1.85,34.7,85.77,26,79,4.38,broken clouds
125,Akdepe,TM,42.0551,59.3788,39.29,31,75,14.81,broken clouds
126,Umred,IN,20.85,79.3333,86.29,37,49,8.86,scattered clouds
127,Auki,SB,-8.7676,160.7034,79.2,84,42,2.46,light rain
128,Saint-Augustin,CA,51.226,-58.6502,35.85,98,100,13.22,overcast clouds
129,Mahebourg,MU,-20.4081,57.7,82.69,57,20,16.11,few clouds
130,Vardo,NO,70.3705,31.1107,32.2,100,75,4.61,light intensity shower rain
131,Leh,IN,34.1667,77.5833,28.2,47,1,2.15,clear sky
132,Sao Filipe,CV,14.8961,-24.4956,77.09,79,100,6.76,overcast clouds
133,Sobolevo,RU,54.4299,31.8996,34.07,97,100,7.47,overcast clouds
134,Dikson,RU,73.5069,80.5464,-21.41,96,12,3.38,few clouds
135,Ratanpur,IN,22.3,82.1667,86.05,35,55,4.54,broken clouds
136,Oranjemund,NA,-28.55,16.4333,66.54,58,0,16.71,clear sky
137,Chuy,UY,-33.6971,-53.4616,51.1,90,0,4.54,clear sky
138,Vila Velha,BR,-20.3297,-40.2925,76.95,84,20,4.0,few clouds
139,Emet,TR,39.343,29.2585,42.85,89,100,4.34,overcast clouds
140,Chagoda,RU,59.164,35.3285,35.01,76,96,11.56,overcast clouds
141,Pedernales,DO,18.0384,-71.744,78.28,66,92,2.98,overcast clouds
142,Sisimiut,GL,66.9395,-53.6735,13.12,84,46,14.03,scattered clouds
143,Pangai,TO,-19.8,-174.35,78.39,71,85,7.7,overcast clouds
144,Pangnirtung,CA,66.1451,-65.7125,14.49,77,100,7.29,overcast clouds
145,Comodoro Rivadavia,AR,-45.8667,-67.5,62.46,42,0,17.27,clear sky
146,Altagracia De Orituco,VE,9.8601,-66.3814,68.99,97,100,3.44,overcast clouds
147,Hilo,US,19.7297,-155.09,78.28,91,1,3.44,clear sky
148,Shache,CN,38.4167,77.2406,46.2,25,0,2.55,clear sky
149,Fort Nelson,CA,58.8053,-122.7002,4.59,85,75,6.91,light snow
150,Yar-Sale,RU,66.8333,70.8333,-14.08,98,17,3.56,few clouds
151,Hithadhoo,MV,-0.6,73.0833,83.16,75,15,18.95,few clouds
152,Jeremie,HT,18.65,-74.1167,76.91,69,100,3.33,overcast clouds
153,Sitio Novo Do Tocantins,BR,-5.5183,-47.4611,78.73,89,20,0.0,few clouds
154,Arraial Do Cabo,BR,-22.9661,-42.0278,72.48,92,100,3.49,overcast clouds
155,Kuching,MY,1.55,110.3333,86.22,74,40,10.36,scattered clouds
156,Wicklow,IE,53.0,-6.4167,47.05,93,22,3.62,few clouds
157,Syasstroy,RU,60.1367,32.5691,37.26,85,87,15.26,overcast clouds
158,Geraldton,AU,-28.7667,114.6,73.81,53,0,24.16,clear sky
159,Buxar,IN,25.5833,83.9833,82.98,28,12,3.36,few clouds
160,Ulladulla,AU,-35.35,150.4667,61.88,96,100,4.63,light rain
161,Zhanakorgan,KZ,43.9098,67.2495,36.03,31,0,6.33,clear sky
162,Manzanillo,CU,20.3433,-77.1167,70.38,89,31,2.98,scattered clouds
163,Aklavik,CA,68.2191,-135.0107,2.12,78,100,14.18,overcast clouds
164,Ahipara,NZ,-35.1667,173.1667,58.48,75,100,4.61,overcast clouds
165,Hargeysa,SO,9.56,44.065,78.94,20,16,14.14,few clouds
166,Tura,IN,25.5198,90.2201,76.28,54,12,3.71,few clouds
167,Lompoc,US,34.6391,-120.4579,55.78,87,90,0.0,overcast clouds
168,Greenville,US,35.6127,-77.3663,62.76,67,75,6.91,broken clouds
169,Atar,MR,20.5169,-13.0499,73.38,47,73,6.51,broken clouds
170,Sholapur,IN,17.6833,75.9167,82.0,60,100,8.99,overcast clouds
171,Teguise,ES,29.0605,-13.564,53.82,82,20,4.61,few clouds
172,Nikolskoye,RU,59.7035,30.7861,39.87,92,48,8.55,scattered clouds
173,Castro,BR,-24.7911,-50.0119,62.53,96,98,3.09,overcast clouds
174,North Bend,US,43.4065,-124.2243,56.95,97,90,21.85,mist
175,Sinnamary,GF,5.3833,-52.95,76.51,90,56,6.46,broken clouds
176,Provideniya,RU,64.3833,-173.3,8.92,92,27,11.52,scattered clouds
177,Inuvik,CA,68.3499,-133.7218,4.21,85,90,5.75,light snow
178,Qasigiannguit,GL,68.8193,-51.1922,12.45,83,45,6.49,scattered clouds
179,Tasiilaq,GL,65.6145,-37.6368,21.36,61,92,3.78,overcast clouds
180,Prince Rupert,CA,54.3161,-130.3201,42.49,77,90,12.66,moderate rain
181,Whitianga,NZ,-36.8333,175.7,65.01,74,95,4.23,overcast clouds
182,Kahului,US,20.8947,-156.47,79.84,78,1,5.75,clear sky
183,Hervey Bay,AU,-25.2986,152.8535,78.91,64,0,10.49,clear sky
184,Huilong,CN,31.8111,121.655,67.98,58,4,9.1,clear sky
185,Yanam,IN,16.7333,82.2167,81.0,88,100,11.1,overcast clouds
186,Half Moon Bay,US,37.4636,-122.4286,56.16,92,90,0.0,mist
187,Longfeng,CN,46.55,125.1167,22.14,81,67,4.97,broken clouds
188,Svetlogorsk,BY,52.6333,29.7333,37.27,98,100,10.29,overcast clouds
189,Tuatapere,NZ,-46.1333,167.6833,56.97,63,70,7.99,broken clouds
190,Bluff,NZ,-46.6,168.3333,58.91,58,77,19.6,broken clouds
191,Gravdal,NO,68.1214,13.5031,40.89,75,40,16.11,scattered clouds
192,Port Blair,IN,11.6667,92.75,83.86,73,100,10.65,overcast clouds
193,Gawler,AU,-34.6,138.7333,60.82,90,100,7.09,light rain
194,Yumen,CN,40.2833,97.2,37.0,29,100,13.29,overcast clouds
195,Kamaishi,JP,39.2667,141.8833,58.15,73,1,9.33,clear sky
196,Basoko,CD,1.2391,23.616,80.91,69,100,1.48,overcast clouds
197,Bandarbeyla,SO,9.4942,50.8122,81.52,58,11,16.84,few clouds
198,Hirado,JP,33.3597,129.5531,65.55,49,0,10.18,clear sky
199,Lorengau,PG,-2.0226,147.2712,82.29,67,100,5.59,overcast clouds
200,Norman Wells,CA,65.282,-126.8329,-2.16,71,75,10.36,light snow
201,Sulangan,PH,11.1373,123.7228,82.9,68,100,3.51,overcast clouds
202,Ryotsu,JP,38.0833,138.4333,60.76,71,48,17.98,scattered clouds
203,Borazjan,IR,29.2666,51.2159,74.53,35,0,4.47,clear sky
204,Zvishavane,ZW,-20.3267,30.0665,64.9,82,100,11.23,overcast clouds
205,Monrovia,LR,6.3005,-10.7969,76.77,90,30,6.13,light rain
206,Agadez,NE,19.75,10.25,79.75,17,84,3.42,broken clouds
207,Windhoek,NA,-22.5594,17.0832,77.49,10,0,3.44,clear sky
208,Klaksvik,FO,62.2266,-6.589,45.52,81,88,38.79,overcast clouds
209,Saint-Francois,FR,46.4154,3.9054,42.48,99,90,0.0,mist
210,Paamiut,GL,61.994,-49.6678,11.19,65,8,5.75,clear sky
211,Rincon,US,32.296,-81.2354,64.85,99,40,6.91,scattered clouds
212,Katherine,AU,-14.4667,132.2667,102.52,25,85,11.5,overcast clouds
213,Sao Joao Da Barra,BR,-21.6403,-41.0511,73.49,92,99,6.04,overcast clouds
214,Surgut,RU,61.25,73.4167,-12.82,84,0,8.95,clear sky
215,Madang,PG,-5.2246,145.7966,79.02,87,100,4.85,moderate rain
216,Griffith,US,41.5284,-87.4237,33.62,58,75,1.01,broken clouds
217,Saint George,US,37.1041,-113.5841,61.36,42,1,3.44,clear sky
218,Santiago Del Estero,AR,-27.7951,-64.2615,64.17,66,1,5.14,clear sky
219,Loubomo,CG,-4.1997,12.6739,80.56,77,43,2.46,scattered clouds
220,Yerofey Pavlovich,RU,53.9667,121.9667,10.83,90,100,1.05,overcast clouds
221,Berlevag,NO,70.8578,29.0864,33.75,93,75,3.44,broken clouds
222,Isangel,VU,-19.55,169.2667,78.24,84,100,7.63,light rain
223,Pietermaritzburg,ZA,-29.6168,30.3928,59.76,67,99,4.83,overcast clouds
224,Bonthe,SL,7.5264,-12.505,79.39,82,36,3.29,light rain
225,Grand-Lahou,CI,5.1367,-5.0242,81.84,77,50,4.09,scattered clouds
226,Lagoa,PT,39.05,-27.9833,65.12,73,100,17.87,overcast clouds
227,Jiuquan,CN,39.7432,98.5174,39.02,28,100,9.1,overcast clouds
228,Kavieng,PG,-2.5744,150.7967,82.71,70,100,0.02,overcast clouds
229,Oyama,JP,36.3,139.8,60.66,36,80,0.81,broken clouds
230,Ixtapa,MX,20.7,-105.2,73.22,81,0,4.21,clear sky
231,Lasa,IT,46.6166,10.7002,41.88,58,88,5.39,overcast clouds
232,Nerchinskiy Zavod,RU,51.3088,119.61,11.52,89,88,1.7,overcast clouds
233,Bambous Virieux,MU,-20.3428,57.7575,82.65,57,20,16.11,few clouds
234,Pemba,MZ,-12.974,40.5178,83.8,64,5,15.37,clear sky
235,Teknaf,BD,20.8624,92.3058,84.83,57,98,9.55,overcast clouds
236,Obama,JP,35.4958,135.746,64.62,59,0,2.55,clear sky
237,Broken Hill,AU,-31.95,141.4333,82.11,30,100,6.91,light rain
238,Pinega,RU,64.7001,43.3936,27.39,94,100,8.9,light snow
239,Concarneau,FR,47.875,-3.9225,47.19,89,5,7.94,clear sky
240,Inhambane,MZ,-23.865,35.3833,76.98,83,40,4.61,scattered clouds
241,Guilin,CN,25.2819,110.2864,64.51,77,99,1.21,overcast clouds
242,Roma,US,43.2128,-75.4557,39.06,93,90,8.05,overcast clouds
243,Puerto Ayacucho,VE,5.6639,-67.6236,75.31,80,98,1.63,overcast clouds
244,Maku,IR,39.2911,44.4521,46.04,45,96,3.06,overcast clouds
245,Lake Charles,US,30.2131,-93.2044,51.78,61,1,9.22,clear sky
246,Tucupita,VE,9.0622,-62.051,71.01,99,95,2.77,overcast clouds
247,La Esperanza,GT,14.8667,-91.5667,51.62,85,100,6.58,overcast clouds
248,Severo-Kurilsk,RU,50.6789,156.125,36.68,98,100,18.68,moderate rain
249,San Pedro De Cajas,PE,-11.2511,-75.8617,38.61,90,100,2.86,overcast clouds
250,Itacoatiara,BR,-3.1431,-58.4442,72.59,95,100,0.85,overcast clouds
251,Nosy Varika,MG,-20.5833,48.5333,82.2,60,9,11.68,clear sky
252,Nyrob,RU,60.733,56.7202,25.23,94,100,10.69,overcast clouds
253,General Pico,AR,-35.6566,-63.7568,50.38,78,3,8.72,clear sky
254,Ambilobe,MG,-13.2,49.05,95.97,29,7,1.61,clear sky
255,Nome,US,64.5011,-165.4064,-1.89,66,1,0.0,clear sky
256,Panagar,IN,23.3,79.9833,81.84,39,40,6.91,haze
257,Chilliwack,CA,49.1747,-121.9443,41.52,92,100,4.61,overcast clouds
258,Kendari,ID,-3.945,122.4989,80.22,83,100,2.77,moderate rain
259,Dunedin,NZ,-45.8742,170.5036,54.81,66,53,3.0,broken clouds
260,Jati,PK,24.3539,68.2671,87.55,12,0,13.38,clear sky
261,Mocuba,MZ,-16.8392,36.9856,107.38,15,0,3.47,clear sky
262,Burnie,AU,-41.0667,145.9167,61.95,45,10,11.48,clear sky
263,Mandalgovi,MN,45.7625,106.2708,28.42,39,11,14.05,few clouds
264,Envira,BR,-7.3,-70.2167,72.12,99,100,2.46,overcast clouds
265,Cayenne,GF,4.9333,-52.3333,79.09,87,75,5.75,mist
266,Borogontsy,RU,62.6683,131.1683,-14.1,97,99,0.74,overcast clouds
267,Luderitz,NA,-26.6481,15.1594,72.07,45,0,18.12,clear sky
268,Gat,IL,31.61,34.7642,71.4,64,7,6.51,clear sky
269,Kiunga,PG,-6.1219,141.2906,80.67,85,99,2.42,overcast clouds
270,Laguna,US,38.421,-121.4238,58.82,93,20,0.0,mist
