City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
477,Vila Franca Do Campo,PT,63.19,overcast clouds,37.7167,-25.4333,Pestana Bahia Praia
478,Alcaniz,ES,47.08,clear sky,41.05,-0.1333,Hotel Ciudad de Alcañiz
480,Port Hawkesbury,CA,58.91,overcast clouds,45.6169,-61.3485,MacKenzie House Tourist Home B&B
481,Rocha,UY,47.66,clear sky,-34.4833,-54.3333,Hotel Arrarte
488,Arroio Grande,BR,49.73,clear sky,-32.2375,-53.0869,Motel Bela Vista
494,Austin,US,52.14,clear sky,30.2672,-97.7431,The Driskill - In the Unbound Collection by Hyatt
496,Mao,ES,54.16,few clouds,39.8885,4.2658,ARTIEM Capri
498,Cesky Krumlov,CZ,45.0,overcast clouds,48.8109,14.3152,Hotel Růže
505,Porto Torres,IT,48.38,clear sky,40.835,8.3972,Hotel Elisa
523,Paso De Carrasco,UY,54.25,clear sky,-34.8603,-56.0522,Hotel Sofitel Montevideo Casino Carrasco and Spa
531,Lata,PT,54.01,clear sky,40.1629,-8.3327,Casa Maquia
533,San Cristobal,VE,64.67,overcast clouds,7.7669,-72.225,Posada Villaven C.A.
535,Chino Valley,US,50.31,overcast clouds,34.7575,-112.4538,Primrose Inn & Suites
537,Boddam,GB,59.38,overcast clouds,57.4667,-1.7833,Palace Hotel
538,Cooma,AU,60.57,light rain,-36.2333,149.1333,High Country Motel
558,Luzhou,CN,61.93,broken clouds,28.8724,105.4405,Shijichun Hotel
559,Pisco,PE,59.05,mist,-13.7,-76.2167,Hotel San Isidro Oficial
570,Peterhead,GB,58.44,overcast clouds,57.5058,-1.7981,Palace Hotel
571,Shimoda,JP,59.36,overcast clouds,34.6667,138.95,Shimoda Tokyu Hotel
573,Muros,ES,48.7,clear sky,42.7762,-9.0603,Apartment Av. Castelao
574,Nantucket,US,55.51,overcast clouds,41.2835,-70.0995,Jared Coffin House
577,Brae,GB,51.71,overcast clouds,60.3964,-1.353,Busta House Hotel
587,Fruitvale,US,51.03,scattered clouds,39.0817,-108.4968,Grand Junction Palomino Inn
588,Chicama,PE,62.87,overcast clouds,-7.8447,-79.1469,Balihai Bungalows
591,Arona,ES,57.72,scattered clouds,28.0996,-16.681,Paradise Court
601,Jabinyanah,TN,57.0,broken clouds,35.035,10.9081,maison belmabrouk
612,Christchurch,NZ,61.0,clear sky,-43.5333,172.6333,The George
616,Venado Tuerto,AR,58.78,clear sky,-33.7456,-61.9688,Hotel - Miro Park
617,Dawlatabad,AF,46.11,clear sky,36.4141,64.9053,WASIM ASGAR KHAN
619,Huarmey,PE,63.09,overcast clouds,-10.0681,-78.1522,Hotel Miramar
621,Houma,US,54.0,few clouds,29.5958,-90.7195,Courtyard by Marriott Houma
625,Bahia Blanca,AR,50.09,clear sky,-38.7196,-62.2724,Hotel Argos
630,Newton,US,48.04,moderate rain,42.337,-71.2092,Hotel Indigo Boston - Newton Riverside
632,Semnan,IR,45.57,few clouds,35.5729,53.3971,Semnan Tourist Hotel
637,Shahr-E Babak,IR,52.63,few clouds,30.1165,55.1186,Duna Ecolodge
638,Peniche,PT,56.93,clear sky,39.3558,-9.3811,Hotel Star inn Peniche
643,Shenjiamen,CN,63.9,clear sky,29.9576,122.298,Jinjiang Inn Zhoushan Putuo Shenjiamen
652,Jiaonan,CN,60.82,clear sky,35.8786,119.9753,Vienna Hotel Qingdao Huangdao
653,Bercel,HU,45.75,overcast clouds,47.8706,19.4072,Szent Miklós Közösségi Ház
655,Lindeberg,NO,47.17,clear sky,60.0383,11.1248,Raumartoppen
656,Petaluma,US,56.16,mist,38.2324,-122.6367,Sheraton Sonoma Wine Country Petaluma
658,Gorele,TR,58.44,overcast clouds,41.0308,39.0031,Görele Öğretmenevi
661,Cetate,RO,46.58,overcast clouds,44.1,23.05,Бонония Естейт
662,Hualmay,PE,62.49,overcast clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
663,Westport,US,46.98,overcast clouds,41.1415,-73.3579,Norwalk Inn
666,Stornoway,GB,51.76,broken clouds,58.2093,-6.3865,Caladh Inn
668,Villaviciosa,ES,47.16,clear sky,43.4813,-5.4357,Hotel Carlos I
672,Namie,JP,59.99,broken clouds,37.4833,141.0,いこいの村なみえ
676,Copiapo,CL,53.29,clear sky,-27.3667,-70.3333,San Francisco de La Selva
680,Ocampo,MX,48.22,broken clouds,21.65,-101.5,Casa de ratas
